,SPY,SPY index,AAPL,,MS,,XLF,,XLK,,Portfolio,
11/3/2017,258.45,1.0149623,172.5,1.105769231,50.02,1.029429924,26.78,1.025267994,63.49,1.054476001,2982.29,1.019304056
11/6/2017,258.85,1.016533145,174.25,1.116987179,50.14,1.031899568,26.75,1.024119449,63.63,1.056801196,2986.9,1.020879688
11/7/2017,258.67,1.015826265,174.81,1.120576923,49.39,1.016464293,26.38,1.009954058,63.66,1.057299452,2984.14,1.01993636
11/8/2017,259.11,1.017554194,176.24,1.12974359,49.04,1.009261165,26.25,1.004977029,64.01,1.06311244,2989.9,1.021905045
11/9/2017,258.17,1.013862708,175.88,1.127435897,48.82,1.004733484,26.16,1.001531394,63.5,1.054642086,2977.68,1.017728424
11/10/2017,258.09,1.013548539,174.67,1.119679487,48.76,1.003498662,26.08,0.998468606,63.5,1.054642086,2976.64,1.017372967
11/13/2017,258.33,1.014491046,173.97,1.115192308,48.63,1.000823215,26.12,1,63.48,1.054309915,2979.06,1.018200088
11/14/2017,257.73,1.012134779,171.34,1.098333333,48.38,0.995678123,26.11,0.999617152,63.35,1.052150806,2972.38,1.01591696
11/15/2017,256.44,1.007068803,169.08,1.083846154,48.1,0.989915621,26.18,1.00229709,62.88,1.044344793,2957.34,1.010776503
11/16/2017,258.62,1.015629909,171.1,1.096794872,48.6,1.000205804,26.19,1.002679939,63.76,1.058960306,2983.57,1.019741542
11/17/2017,257.86,1.012645303,170.15,1.090705128,48.7,1.00226384,26.16,1.001531394,63.35,1.052150806,2973.83,1.016412549
11/20/2017,258.3,1.014373233,169.98,1.089615385,49.11,1.01070179,26.28,1.006125574,63.59,1.056136854,2979.79,1.018449592
11/21/2017,259.99,1.021010053,173.14,1.109871795,49.38,1.016258489,26.36,1.009188361,64.26,1.067264574,3000.28,1.025452781
11/22/2017,259.76,1.020106817,174.96,1.121538462,49.09,1.010290183,26.23,1.004211332,64.14,1.06527155,2996.99,1.024328306
11/24/2017,260.36,1.022463085,174.97,1.121602564,49.06,1.009672772,26.22,1.003828484,64.5,1.071250623,3004.76,1.026983981
11/27/2017,260.23,1.02195256,174.09,1.115961538,49,1.00843795,26.2,1.003062787,64.5,1.071250623,3003.4,1.026519152
11/28/2017,262.87,1.032320138,173.07,1.109423077,50.4,1.037250463,26.88,1.029096478,64.71,1.074738416,3032.89,1.036598412
11/29/2017,262.71,1.0316918,169.48,1.086410256,51.32,1.0561844,27.34,1.046707504,63.28,1.050988208,3025.52,1.034079452
11/30/2017,265.01,1.04072416,171.85,1.101602564,51.61,1.062152706,27.52,1.053598775,63.84,1.060288989,3051.86,1.043082087
12/1/2017,264.46,1.038564248,171.05,1.096474359,51.95,1.069150031,27.58,1.055895865,63.51,1.054808171,3044.89,1.04069984
12/4/2017,264.14,1.037307571,169.8,1.088461538,52.68,1.084173698,28,1.071975498,62.49,1.037867464,3037.85,1.038293669
12/5/2017,263.19,1.033576814,169.64,1.087435897,52.01,1.070384853,27.85,1.066232772,62.51,1.038199635,3028,1.03492708
12/6/2017,263.24,1.03377317,169.01,1.083397436,51.69,1.063799136,27.75,1.062404288,62.91,1.044843049,3030.2,1.035679009
12/7/2017,264.07,1.037032674,169.32,1.085384615,52.35,1.077382177,27.84,1.065849923,63.3,1.051320379,3040.72,1.039274594
12/8/2017,265.51,1.042687716,169.37,1.085705128,52.89,1.088495575,28.01,1.072358346,63.6,1.05630294,3057.13,1.044883297
12/11/2017,266.31,1.045829406,172.67,1.106858974,52.77,1.086025931,27.94,1.069678407,64.15,1.065437635,3067.67,1.048485718
12/12/2017,266.78,1.047675149,171.7,1.100641026,53.85,1.108252727,28.22,1.080398162,64.13,1.065105464,3073.11,1.050345033
12/13/2017,266.75,1.047557336,172.27,1.104294872,53.18,1.094463881,27.87,1.066998469,64.15,1.065437635,3071.86,1.049917801
12/14/2017,265.66,1.043276783,172.22,1.103974359,52.64,1.083350484,27.69,1.060107198,64.07,1.064108952,3060.02,1.045871058
12/15/2017,266.51,1.046614829,173.97,1.115192308,53.1,1.092817452,27.81,1.064701378,64.56,1.072247135,3071.33,1.049736654
12/18/2017,268.2,1.053251649,176.42,1.130897436,53.24,1.095698703,28.06,1.074272588,65.13,1.081714001,3091.83,1.056743261
12/19/2017,267.17,1.049206723,174.54,1.118846154,52.93,1.08931879,27.94,1.069678407,64.73,1.075070586,3079.17,1.052416254
12/20/2017,267.03,1.048656927,174.35,1.117628205,52.51,1.080675036,27.89,1.067764165,64.71,1.074738416,3077.52,1.051852308
12/21/2017,267.58,1.050816839,175.01,1.121858974,52.88,1.088289772,28.13,1.076952527,64.58,1.072579306,3083.09,1.053756054
12/22/2017,267.51,1.050541942,175.01,1.121858974,52.72,1.084996913,28.05,1.07388974,64.54,1.071914964,3081.95,1.053366418
12/26/2017,267.19,1.049285265,170.57,1.093397436,52.47,1.079851821,27.97,1.070826953,64.11,1.064773293,3076.36,1.051455836
12/27/2017,267.32,1.04979579,170.6,1.093589744,52.57,1.081909858,28,1.071975498,64.18,1.065935891,3078.1,1.052050543
12/28/2017,267.87,1.051955702,171.08,1.096666667,52.65,1.083556287,28.11,1.07618683,64.29,1.06776283,3084.48,1.054231136
12/29/2017,266.86,1.047989318,169.23,1.084807692,52.47,1.079851821,27.91,1.068529862,63.95,1.062115928,3072.08,1.049992993
1/2/2018,268.77,1.055490104,172.26,1.104230769,52.19,1.074089319,27.92,1.068912711,64.74,1.075236672,3095.16,1.057881407
1/3/2018,270.47,1.062166195,172.23,1.104038462,52.33,1.07697057,28.07,1.074655436,65.28,1.084205282,3115.31,1.064768389
1/4/2018,271.61,1.066643104,173.03,1.109166667,53.13,1.093434863,28.33,1.084609495,65.61,1.089686099,3129.14,1.069495285
1/5/2018,273.42,1.073751178,175,1.121794872,53.11,1.093023256,28.41,1.087672282,66.3,1.101145989,3150.93,1.076942795
1/8/2018,273.92,1.075714735,174.35,1.117628205,52.89,1.088495575,28.37,1.086140888,66.55,1.105298123,3157.06,1.079037942
1/9/2018,274.54,1.078149544,174.33,1.1175,53.3,1.096933525,28.59,1.094563553,66.38,1.102474672,3163.07,1.081092074
1/10/2018,274.12,1.076500157,174.29,1.11724359,53.93,1.109899156,28.83,1.103751914,66.15,1.098654709,3158.44,1.079509606
1/11/2018,276.12,1.084354383,175.28,1.123589744,54.2,1.115455855,28.97,1.109111792,66.42,1.103139013,3180.21,1.08695028
1/12/2018,277.92,1.091423186,177.09,1.135192308,55.12,1.134389792,29.23,1.11906585,66.81,1.109616343,3200.94,1.094035498
